model_id,series,reporting_role,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-04,52.04340502830389,53.71945657561568,53.71945657561568,-1.6760515473117934,-0.3584230148334309
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-05,55.72073476834652,53.71945657561568,53.71945657561568,2.0012781927308367,0.42797261486943244
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-06,44.275881058987245,53.71945657561568,53.71945657561568,-9.443575516628435,-2.019505195353917
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-07,56.19299969599727,53.71945657561568,53.71945657561568,2.473543120381592,0.5289662981724118
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-08,53.38697492221824,53.71945657561568,53.71945657561568,-0.33248165339743707,-0.0711010808579531
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-09,53.89953584964042,53.71945657561568,53.71945657561568,0.18007927402474166,0.03850988736503121
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-10,64.56066475629389,53.71945657561568,53.71945657561568,10.841208180678208,2.31838843309315
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-11,52.616024215582,53.71945657561568,53.71945657561568,-1.103432360033679,-0.2359686095468671
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-12,64.10896206747798,53.71945657561568,53.71945657561568,10.389505491862295,2.2217919770990378
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-01,54.06747217334802,53.71945657561568,53.71945657561568,0.34801559773234203,0.07442300921373747
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-02,54.10088919061863,53.71945657561568,53.71945657561568,0.3814326150029501,0.08156922622363952
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-03,61.63854851328894,53.71945657561568,53.71945657561568,7.919091937673258,1.6934949355205868
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-04,54.08680911376589,53.71945657561568,53.71945657561568,0.3673525381502074,0.07855820690102937
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-05,50.426313335936726,53.71945657561568,53.71945657561568,-3.2931432396789546,-0.7042374860947437
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-06,51.89977194931201,53.71945657561568,53.71945657561568,-1.819684626303669,-0.38913889662396833
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-07,47.95353131489423,53.71945657561568,53.71945657561568,-5.765925260721453,-1.2330410234498386
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-08,52.939953409769046,53.71945657561568,53.71945657561568,-0.7795031658466343,-0.16669646898573562
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-09,62.45538441329845,61.29802141599746,61.298021415997454,1.157362997300993,0.24750165674475433
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-10,61.486536502695664,61.29802141599746,61.298021415997454,0.18851508669821015,0.04031388284228497
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-11,57.5910398908809,61.29802141599746,61.298021415997454,-3.7069815251165537,-0.7927366531746263
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2023-12,61.1984321948073,61.29802141599746,61.298021415997454,-0.09958922119015057,-0.02129711879156594
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-01,58.6446518557328,61.29802141599746,61.298021415997454,-2.6533695602646503,-0.5674221170480459
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2024-02,61.30124558145313,61.29802141599746,61.298021415997454,0.0032241654556770527,0.000689486612031148
